TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,170,33,32.0,0,0,0,0,,4405000000,0
1,170,33,32.0,0,0,0,0,,4405000000,0
1,170,33,32.0,0,0,0,0,,4405000000,0
1,180,33,32.0,0,0,0,0,,4405000000,0
1,180,33,32.0,0,0,0,0,,4405000000,0
1,180,33,32.0,0,0,0,0,,4405000000,0
1,180,33,32.0,0,0,0,0,,4405000000,0
1,180,33,32.0,0,0,0,0,,4405000000,0
1,190,33,32.0,0,0,0,0,,4405000000,0
1,190,33,32.0,0,0,0,0,,4405000000,0
1,190,33,32.0,0,0,0,0,,4405000000,0
1,190,33,32.0,0,0,0,0,,4405000000,0
1,190,33,32.0,0,0,0,0,,4405000000,0
1,200,33,32.0,0,0,0,0,,4405000000,0
1,200,33,32.0,0,0,0,0,,4405000000,0
1,200,33,32.0,0,0,0,0,,4405000000,0
1,200,33,32.0,0,0,0,0,,4405000000,0
1,200,33,32.0,0,0,0,0,,4405000000,0
1,10,25,25.8,206,16529165,ce,fc370d,e20051397201021118904d81,441601cefc370d0e3000e20051397201021118904d81,1
1,10,25,25.8,222,11287565,de,ac3c0d,e20051397201021118904d81,441601deac3c0d0e3000e20051397201021118904d81,1
1,10,25,25.8,222,5519885,de,543a0d,e20051397201021118904d81,441601de543a0d0e3000e20051397201021118904d81,1
1,10,25,25.8,190,10761485,be,a4350d,e20051397201021118904d81,441601bea4350d0e3000e20051397201021118904d81,1
1,10,25,25.8,206,16529165,ce,fc370d,e20051397201021118904d81,441601cefc370d0e3000e20051397201021118904d81,1
1,20,25,25.8,206,11287565,ce,ac3c0d,e20051397201021118904d81,441601ceac3c0d0e3000e20051397201021118904d81,1
1,20,25,25.8,206,5519885,ce,543a0d,e20051397201021118904d81,441601ce543a0d0e3000e20051397201021118904d81,1
1,20,25,25.8,205,10761485,cd,a4350d,e20051397201021118904d81,441601cda4350d0e3000e20051397201021118904d81,1
1,20,25,25.8,220,16529165,dc,fc370d,e20051397201021118904d81,441601dcfc370d0e3000e20051397201021118904d81,1
1,20,25,25.8,235,11287565,eb,ac3c0d,e20051397201021118904d81,441601ebac3c0d0e3000e20051397201021118904d81,1
1,30,25,25.8,217,5519885,d9,543a0d,e20051397201021118904d81,441601d9543a0d0e3000e20051397201021118904d81,1
