DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
20,1,234,10761485,e20051397201021018904d85,1,1,1.000
30,1,218,16529165,e20051397201021018904d85,1,1,1.000
40,1,184,11287565,e20051397201021018904d85,1,1,1.000
50,0,0,0,e20051397201021018904d85,5,1,0.000
60,1,105,10761485,e20051397201021018904d85,1,1,1.000
70,1,120,16529165,e20051397201021018904d85,1,1,1.000
80,1,72,11287565,e20051397201021018904d85,2,1,0.500
90,1,102,5519885,e20051397201021018904d85,2,1,0.500
100,0,0,0,e20051397201021018904d85,5,1,0.000
110,1,83,16529165,e20051397201021018904d85,2,1,0.500
120,0,0,0,e20051397201021018904d85,5,1,0.000
130,0,0,0,e20051397201021018904d85,5,1,0.000
140,1,5,10761485,e20051397201021018904d85,1,1,1.000
150,0,0,0,e20051397201021018904d85,5,1,0.000
160,1,64,11287565,e20051397201021018904d85,3,1,0.333
170,0,0,0,e20051397201021018904d85,5,1,0.000
180,0,0,0,e20051397201021018904d85,5,1,0.000
190,0,0,0,e20051397201021018904d85,5,1,0.000
200,0,0,0,e20051397201021018904d85,5,1,0.000
10,1,191,10761485,e20051397201021018904d85,1,2,1.000
20,1,222,16529165,e20051397201021018904d85,1,2,1.000
30,1,203,11287565,e20051397201021018904d85,1,2,1.000
40,1,201,5519885,e20051397201021018904d85,1,2,1.000
50,1,176,10761485,e20051397201021018904d85,2,2,0.500
60,1,148,16529165,e20051397201021018904d85,1,2,1.000
70,1,89,11287565,e20051397201021018904d85,1,2,1.000
80,0,0,0,e20051397201021018904d85,5,2,0.000
90,0,0,0,e20051397201021018904d85,5,2,0.000
100,1,119,16529165,e20051397201021018904d85,2,2,0.500
110,0,0,0,e20051397201021018904d85,5,2,0.000
120,1,80,5519885,e20051397201021018904d85,2,2,0.500
130,0,0,0,e20051397201021018904d85,5,2,0.000
140,1,21,16529165,e20051397201021018904d85,1,2,1.000
150,1,5,11287565,e20051397201021018904d85,2,2,0.500
160,0,0,0,e20051397201021018904d85,5,2,0.000
170,0,0,0,e20051397201021018904d85,5,2,0.000
180,0,0,0,e20051397201021018904d85,5,2,0.000
190,0,0,0,e20051397201021018904d85,5,2,0.000
200,0,0,0,e20051397201021018904d85,5,2,0.000
10,1,253,16529165,e20051397201021018904d85,1,3,1.000
20,1,235,11287565,e20051397201021018904d85,1,3,1.000
30,1,218,5519885,e20051397201021018904d85,1,3,1.000
40,1,193,10761485,e20051397201021018904d85,1,3,1.000
50,1,167,16529165,e20051397201021018904d85,1,3,1.000
60,1,151,11287565,e20051397201021018904d85,1,3,1.000
70,1,57,5519885,e20051397201021018904d85,1,3,1.000
80,1,23,10761485,e20051397201021018904d85,2,3,0.500
90,0,0,0,e20051397201021018904d85,5,3,0.000
100,1,113,11287565,e20051397201021018904d85,2,3,0.500
110,1,112,5519885,e20051397201021018904d85,2,3,0.500
120,0,0,0,e20051397201021018904d85,5,3,0.000
130,0,0,0,e20051397201021018904d85,5,3,0.000
140,1,21,11287565,e20051397201021018904d85,1,3,1.000
150,0,0,0,e20051397201021018904d85,5,3,0.000
160,0,0,0,e20051397201021018904d85,5,3,0.000
170,0,0,0,e20051397201021018904d85,5,3,0.000
180,0,0,0,e20051397201021018904d85,5,3,0.000
190,0,0,0,e20051397201021018904d85,5,3,0.000
200,0,0,0,e20051397201021018904d85,5,3,0.000
10,1,237,11287565,e20051397201021018904d85,1,4,1.000
20,1,205,5519885,e20051397201021018904d85,1,4,1.000
30,1,198,10761485,e20051397201021018904d85,1,4,1.000
40,1,167,16529165,e20051397201021018904d85,2,4,0.500
50,0,0,0,e20051397201021018904d85,5,4,0.000
60,1,135,5519885,e20051397201021018904d85,1,4,1.000
70,0,0,0,e20051397201021018904d85,5,4,0.000
80,1,38,16529165,e20051397201021018904d85,2,4,0.500
90,0,0,0,e20051397201021018904d85,5,4,0.000
100,1,97,5519885,e20051397201021018904d85,5,4,0.200
110,0,0,0,e20051397201021018904d85,5,4,0.000
120,0,0,0,e20051397201021018904d85,5,4,0.000
130,0,0,0,e20051397201021018904d85,5,4,0.000
140,0,0,0,e20051397201021018904d85,5,4,0.000
150,0,0,0,e20051397201021018904d85,5,4,0.000
160,0,0,0,e20051397201021018904d85,5,4,0.000
170,0,0,0,e20051397201021018904d85,5,4,0.000
180,0,0,0,e20051397201021018904d85,5,4,0.000
190,0,0,0,e20051397201021018904d85,5,4,0.000
200,0,0,0,e20051397201021018904d85,5,4,0.000
10,1,235,10761485,e20051397201021018904d85,1,5,1.000
20,1,236,16529165,e20051397201021018904d85,1,5,1.000
30,1,216,11287565,e20051397201021018904d85,1,5,1.000
40,1,176,5519885,e20051397201021018904d85,1,5,1.000
50,1,161,10761485,e20051397201021018904d85,2,5,0.500
60,1,105,16529165,e20051397201021018904d85,1,5,1.000
70,1,57,11287565,e20051397201021018904d85,2,5,0.500
80,1,40,5519885,e20051397201021018904d85,1,5,1.000
90,1,102,10761485,e20051397201021018904d85,3,5,0.333
100,1,133,16529165,e20051397201021018904d85,1,5,1.000
