DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,N,READ,READ_RATE
20,1,236,10761485,e20051397201021118904d81,9,5,1.00
30,1,220,16529165,e20051397201021118904d81,9,5,1.00
40,1,183,11287565,e20051397201021118904d81,9,5,1.00
50,1,152,5519885,e20051397201021118904d81,9,5,1.00
60,1,167,10761485,e20051397201021118904d81,9,5,1.00
70,1,10,16529165,e20051397201021118904d81,9,5,1.00
80,1,105,11287565,e20051397201021118904d81,9,4,0.80
90,1,73,5519885,e20051397201021118904d81,9,5,1.00
100,1,103,10761485,e20051397201021118904d81,9,5,1.00
110,1,102,16529165,e20051397201021118904d81,9,4,0.80
120,1,97,11287565,e20051397201021118904d81,9,4,0.80
130,0,0,0,e20051397201021118904d81,9,0,0.00
140,0,0,0,e20051397201021118904d81,9,0,0.00
150,1,54,16529165,e20051397201021118904d81,9,2,0.40
160,1,53,11287565,e20051397201021118904d81,9,2,0.40
170,0,0,0,e20051397201021118904d81,9,0,0.00
180,0,0,0,e20051397201021118904d81,9,0,0.00
190,0,0,0,e20051397201021118904d81,9,0,0.00
200,0,0,0,e20051397201021118904d81,9,0,0.00
210,0,0,0,e20051397201021118904d81,9,0,0.00
220,0,0,0,e20051397201021118904d81,9,0,0.00
230,0,0,0,e20051397201021118904d81,9,0,0.00
240,0,0,0,e20051397201021118904d81,9,0,0.00
250,0,0,0,e20051397201021118904d81,9,0,0.00
260,0,0,0,e20051397201021118904d81,9,0,0.00
270,0,0,0,e20051397201021118904d81,9,0,0.00
280,0,0,0,e20051397201021118904d81,9,0,0.00
290,0,0,0,e20051397201021118904d81,9,0,0.00
300,0,0,0,e20051397201021118904d81,9,0,0.00
10,1,237,16529165,e20051397201021118904d81,10,5,1.00
20,1,220,11287565,e20051397201021118904d81,10,5,1.00
30,1,198,5519885,e20051397201021118904d81,10,5,1.00
40,1,177,10761485,e20051397201021118904d81,10,5,1.00
50,1,136,16529165,e20051397201021118904d81,10,5,1.00
60,1,135,11287565,e20051397201021118904d81,10,5,1.00
70,1,88,5519885,e20051397201021118904d81,10,5,1.00
80,1,23,10761485,e20051397201021118904d81,10,5,1.00
90,1,70,16529165,e20051397201021118904d81,10,5,1.00
100,1,96,11287565,e20051397201021118904d81,10,5,1.00
110,1,96,5519885,e20051397201021118904d81,10,5,1.00
120,1,83,10761485,e20051397201021118904d81,10,5,1.00
130,0,0,0,e20051397201021118904d81,10,0,0.00
140,1,54,11287565,e20051397201021118904d81,10,4,0.80
150,0,0,0,e20051397201021118904d81,10,0,0.00
160,0,0,0,e20051397201021118904d81,10,0,0.00
170,0,0,0,e20051397201021118904d81,10,0,0.00
180,0,0,0,e20051397201021118904d81,10,0,0.00
190,0,0,0,e20051397201021118904d81,10,0,0.00
200,0,0,0,e20051397201021118904d81,10,0,0.00
210,0,0,0,e20051397201021118904d81,10,0,0.00
220,0,0,0,e20051397201021118904d81,10,0,0.00
230,0,0,0,e20051397201021118904d81,10,0,0.00
240,0,0,0,e20051397201021118904d81,10,0,0.00
250,0,0,0,e20051397201021118904d81,10,0,0.00
260,0,0,0,e20051397201021118904d81,10,0,0.00
270,0,0,0,e20051397201021118904d81,10,0,0.00
280,0,0,0,e20051397201021118904d81,10,0,0.00
290,0,0,0,e20051397201021118904d81,10,0,0.00
