TagNo,Distance,Temperature,RealTemp,RSSI,FREQ,H_RSSI,H_FREQ,ID,Data,Detect
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,190,16529165,be,fc370d,e20051397201021118904d81,441601befc370d0e3000e20051397201021118904d81,1
1,20,0,0,221,11287565,dd,ac3c0d,e20051397201021118904d81,441601ddac3c0d0e3000e20051397201021118904d81,1
1,30,0,0,187,5519885,bb,543a0d,e20051397201021118904d81,441601bb543a0d0e3000e20051397201021118904d81,1
1,40,0,0,170,10761485,aa,a4350d,e20051397201021118904d81,441601aaa4350d0e3000e20051397201021118904d81,1
1,50,0,0,164,16529165,a4,fc370d,e20051397201021118904d81,441601a4fc370d0e3000e20051397201021118904d81,1
1,60,0,0,135,11287565,87,ac3c0d,e20051397201021118904d81,44160187ac3c0d0e3000e20051397201021118904d81,1
1,70,0,0,119,5519885,77,543a0d,e20051397201021118904d81,44160177543a0d0e3000e20051397201021118904d81,1
1,80,0,0,119,10761485,77,a4350d,e20051397201021118904d81,44160177a4350d0e3000e20051397201021118904d81,1
1,90,0,0,39,16529165,27,fc370d,e20051397201021118904d81,44160127fc370d0e3000e20051397201021118904d81,1
1,100,0,0,37,11287565,25,ac3c0d,e20051397201021118904d81,44160125ac3c0d0e3000e20051397201021118904d81,1
1,110,0,0,112,5519885,70,543a0d,e20051397201021118904d81,44160170543a0d0e3000e20051397201021118904d81,1
1,120,0,0,0,0,0,0,,4405000000,0
1,130,0,0,0,0,0,0,,4405000000,0
1,140,0,0,0,0,0,0,,4405000000,0
1,150,0,0,0,0,0,0,,4405000000,0
1,160,0,0,0,0,0,0,,4405000000,0
1,170,0,0,0,0,0,0,,4405000000,0
1,180,0,0,0,0,0,0,,4405000000,0
1,190,0,0,0,0,0,0,,4405000000,0
1,200,0,0,0,0,0,0,,4405000000,0
1,10,0,0,237,5519885,ed,543a0d,e20051397201021118904d81,441601ed543a0d0e3000e20051397201021118904d81,1
1,20,0,0,236,10761485,ec,a4350d,e20051397201021118904d81,441601eca4350d0e3000e20051397201021118904d81,1
1,30,0,0,220,16529165,dc,fc370d,e20051397201021118904d81,441601dcfc370d0e3000e20051397201021118904d81,1
1,40,0,0,183,11287565,b7,ac3c0d,e20051397201021118904d81,441601b7ac3c0d0e3000e20051397201021118904d81,1
1,50,0,0,152,5519885,98,543a0d,e20051397201021118904d81,44160198543a0d0e3000e20051397201021118904d81,1
1,60,0,0,167,10761485,a7,a4350d,e20051397201021118904d81,441601a7a4350d0e3000e20051397201021118904d81,1
