DISTANCE,DETECT,RSSI,FREQUENCY,ID
60,1,89,16529165,e20051397201015918904e51
70,1,135,11287565,e20051397201015918904e51
80,1,133,5519885,e20051397201015918904e51
90,1,118,10761485,e20051397201015918904e51
100,1,96,16529165,e20051397201015918904e51
110,1,80,11287565,e20051397201015918904e51
120,1,21,5519885,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,0,0,0,e20051397201015918904e51
150,1,38,11287565,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,207,5519885,e20051397201015918904e51
20,1,190,10761485,e20051397201015918904e51
30,1,188,16529165,e20051397201015918904e51
40,1,176,11287565,e20051397201015918904e51
50,1,177,5519885,e20051397201015918904e51
60,1,145,10761485,e20051397201015918904e51
70,1,57,16529165,e20051397201015918904e51
80,1,40,11287565,e20051397201015918904e51
90,1,71,5519885,e20051397201015918904e51
100,1,112,10761485,e20051397201015918904e51
110,1,112,16529165,e20051397201015918904e51
120,1,96,11287565,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,1,53,10761485,e20051397201015918904e51
150,1,37,16529165,e20051397201015918904e51
160,0,0,0,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,222,5519885,e20051397201015918904e51
20,1,205,10761485,e20051397201015918904e51
30,1,196,16529165,e20051397201015918904e51
40,1,178,11287565,e20051397201015918904e51
50,1,122,5519885,e20051397201015918904e51
60,1,120,10761485,e20051397201015918904e51
70,1,72,16529165,e20051397201015918904e51
80,1,103,11287565,e20051397201015918904e51
90,1,101,5519885,e20051397201015918904e51
100,1,102,10761485,e20051397201015918904e51
110,0,0,0,e20051397201015918904e51
120,0,0,0,e20051397201015918904e51
130,0,0,0,e20051397201015918904e51
140,0,0,0,e20051397201015918904e51
150,0,0,0,e20051397201015918904e51
160,1,64,11287565,e20051397201015918904e51
170,0,0,0,e20051397201015918904e51
180,0,0,0,e20051397201015918904e51
190,0,0,0,e20051397201015918904e51
200,0,0,0,e20051397201015918904e51
10,1,251,5519885,e20051397201015918904e51
20,1,235,10761485,e20051397201015918904e51
30,1,198,16529165,e20051397201015918904e51
40,1,184,11287565,e20051397201015918904e51
50,1,154,5519885,e20051397201015918904e51
60,1,120,10761485,e20051397201015918904e51
70,1,88,16529165,e20051397201015918904e51
80,1,119,11287565,e20051397201015918904e51
